event_name,date,time,latitude,longitude,state,district
Mathgharia Landslide,2026-09-01,08:00:00,26.1748,91.816734,Assam,Kamrup (m)
Satgaon Landlside,2026-09-01,06:30:00,26.157446,91.849945,Assam,Kamrup (m)
Dirang  Landslide,2026-08-29,03:00:00,27.377829,92.23291,Arunachal Pradesh,West Kameng
Tandu Landslide,2026-08-28,07:30:00,26.052744,91.88774,Assam,Kamrup(m)
Tuensang Landslide,2026-08-27,08:15:00,26.231926,94.80994,Nagaland,Tuensang
Manikarneswar Landslide,2026-08-24,,26.207642,91.74712,Assam,Kamrup
Krishna Nagar Landslide,2026-08-21,,26.160917,91.80249,Assam,Kamrup(m)
Ganesh Nagar Landslide,2026-08-21,,26.194555,91.790924,Assam,Kamrup(m)
S. Sarania Landslide 2,2026-08-21,,26.178778,91.767784,Assam,Kamrup(m)
S. Sarania Landslide 1,2026-08-21,,26.176853,91.76956,Assam,Kamrup(m)
Ghokuto Landslide,2026-08-19,,25.875906,93.95156,Nagaland,Niuland
Zunheboto Landslide,2026-08-19,,26.02183,94.52774,Nagaland,Zunheboto
Kharghuli Landslide 2,2026-08-15,,26.199575,91.776695,Assam,Kamrup(m)
Nacho Landslide,2026-08-14,,28.2358,93.8919,Arunachal Pradesh,Upper Subansiri
Rimbi Landslide,2026-08-14,,27.320515,88.187256,Sikkim,Gyalshing
Kohima Landslide,2026-08-10,,25.672106,94.098885,Nagaland,Kohima
Mahur Landslide,2026-08-09,,25.182362,93.12023,Assam,Dima Hasao
Geetanagar Landslide,2026-08-09,,26.173452,91.79576,Assam,Kamrup(m)
Burapahar Landlside,2026-08-08,,26.574081,93.11382,Assam,Nagaon
Etsuchukha Landslide 3,2026-08-07,03:50:00,26.100138,94.25631,Nagaland,Wokha
Old Kohima Landslide,2026-08-05,,25.682878,94.06651,Nagaland,Kohima
Shirui Landslide,2026-08-05,,25.126442,94.45622,Manipur,Ukhrul
Kaziranga Landslide,2026-08-05,03:00:00,26.574476,93.09878,Assam,Nagaon
Artang Landlside,2026-08-04,,26.314524,94.511505,Nagaland,Mokokchung
Parsi Parlo Landlside,2026-08-04,15:00:00,27.994583,93.524574,Arunachal Pradesh,Kurung Kumey
Ukhrul Landslide,2026-08-04,00:30:00,25.097464,94.36435,Manipur,Ukhrul
Phesama Landslide,2026-08-04,,25.624,94.11383,Nagaland,Kohima
Bana Landslide,2026-08-04,,27.275171,92.88837,Arunachal Pradesh,Pakke Kesang
Kiphire Landslide,2026-08-02,,25.894806,94.7723,Nagaland,Kiphire
Meluri Landslide,2026-08-01,,25.694445,94.62855,Nagaland,Meluri
Satakha Landslide,2026-08-01,,25.884886,94.4541,Nagaland,Zunheboto
Lumami Landslide,2026-07-31,,26.221018,94.47801,Nagaland,Zunheboto
Penli Ward Landslide,2026-07-29,01:00:00,26.320194,94.52092,Nagaland,Mokokchung
Kisama Landslide,2026-07-27,,25.622572,94.114845,Nagaland,Kohima
Barfung Landslide,2026-07-25,11:50:00,27.307344,88.37496,Sikkim,Namchi
Deorali Landslide,2026-07-25,,26.117374,91.82204,Meghalaya,Ri Bhoi
New Harangajao Landslide,2026-07-24,,25.113644,92.873634,Assam,Dima Hasao
Swargapur Landlside,2026-07-23,,26.095118,91.798546,Assam,Kamrup(m)
Kahilipara Landslide,2026-07-22,11:00:00,26.142305,91.76151,Assam,Kamrup(m)
Mawlai Landslide,2026-07-21,,25.625807,91.88994,Meghalaya,East Khasi Hills
