day_of_year,station_name,state,latitude,longitude,rainfall_24h_mm,cumulative_72h_mm,source
1,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
2,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
3,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
4,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
5,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
6,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
7,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
8,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
9,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
10,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
11,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
12,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
13,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
14,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
15,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
16,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
17,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
18,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
19,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
20,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
21,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
22,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
23,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
24,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
25,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
26,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
27,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
28,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
29,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.28,0.28,IMD_NetCDF_2025
30,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.28,IMD_NetCDF_2025
31,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.28,IMD_NetCDF_2025
32,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
33,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
34,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
35,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
36,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
37,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
38,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
39,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
40,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
41,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
42,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
43,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
44,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
45,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
46,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
47,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
48,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
49,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
50,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
51,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
52,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
53,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.29,0.29,IMD_NetCDF_2025
54,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.87,3.15,IMD_NetCDF_2025
55,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.83,3.98,IMD_NetCDF_2025
56,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,3.69,IMD_NetCDF_2025
57,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.83,IMD_NetCDF_2025
58,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
59,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
60,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
61,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
62,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
63,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
64,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
65,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
66,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
67,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
68,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
69,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
70,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
71,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
72,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.82,0.82,IMD_NetCDF_2025
73,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.82,IMD_NetCDF_2025
74,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.82,IMD_NetCDF_2025
75,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.87,2.87,IMD_NetCDF_2025
76,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,2.87,IMD_NetCDF_2025
77,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,2.87,IMD_NetCDF_2025
78,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
79,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
80,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.29,0.29,IMD_NetCDF_2025
81,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.29,IMD_NetCDF_2025
82,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.07,2.36,IMD_NetCDF_2025
83,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.5,4.57,IMD_NetCDF_2025
84,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,4.57,IMD_NetCDF_2025
